id,games_id,player_id,points,def_rebounds,off_rebounds,steals,blocks,assists,fg3a,fg3m,fgm,fga,fta,ftm,turnovers,mins,fouls,created_at,updated_at,plus_minus,team_id
130,7,509,23,5,5,2,0,2,4,0,9,17,10,5,0,29,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,15,19
131,7,524,20,0,2,0,0,1,0,0,6,8,11,8,0,23,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,3,19
132,7,513,4,1,1,3,0,0,1,0,2,6,0,0,2,16,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,1,19
133,7,519,24,4,1,1,0,4,9,4,7,14,6,6,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,19
134,7,520,19,6,0,2,0,2,1,0,6,9,9,7,2,23,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,15,19
135,7,514,2,4,1,0,1,1,0,0,0,0,2,2,0,19,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,19
136,7,523,13,3,1,0,1,5,2,1,5,9,2,2,1,24,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,17,19
137,7,511,18,5,0,1,1,7,4,1,7,16,3,3,2,24,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,19
138,7,517,4,1,0,1,1,3,0,0,1,2,2,2,1,22,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,13,19
139,7,518,2,2,0,0,2,0,0,0,1,1,0,0,0,14,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,15,19
140,7,516,5,1,1,1,0,0,1,1,1,2,2,2,0,4,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,19
141,7,521,2,0,0,0,0,0,0,0,1,2,0,0,0,4,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,19
142,7,512,2,0,0,0,0,0,1,0,1,3,0,0,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,19
143,7,441,5,3,1,0,0,1,7,1,1,12,2,2,0,23,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-13,30
144,7,560,10,3,1,1,0,2,6,2,4,11,0,0,0,31,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-17,30
145,7,448,7,2,2,0,1,1,3,1,3,7,0,0,1,17,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-2,30
146,7,445,20,3,1,0,0,1,7,4,7,13,2,2,1,22,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-2,30
147,7,452,17,3,1,0,0,8,5,3,4,6,8,6,4,17,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,0,30
148,7,563,5,5,4,1,2,3,0,0,1,4,4,3,2,25,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-2,30
149,7,438,9,3,0,0,0,4,5,2,3,6,1,1,2,23,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-8,30
150,7,440,5,1,0,0,0,4,1,0,1,3,4,3,1,9,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,30
151,7,447,19,1,2,0,0,0,1,0,8,12,3,3,4,25,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,30
152,7,443,11,2,0,0,0,0,3,1,5,7,0,0,1,21,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-19,30
153,7,459,10,2,1,0,0,3,4,0,4,10,3,2,1,21,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-17,30
154,8,141,2,3,1,1,1,5,2,0,1,7,0,0,1,24,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-29,17
155,8,278,10,5,2,0,0,2,0,0,5,5,0,0,0,25,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-30,17
156,8,280,3,0,0,0,1,1,3,1,1,6,2,0,2,22,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-27,17
157,8,269,4,1,0,1,0,0,8,1,1,8,1,1,2,4,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-30,17
158,8,277,15,1,0,3,0,1,7,3,5,12,2,2,5,22,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-14,17
159,8,273,6,2,1,2,0,2,2,0,3,5,0,0,0,21,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-17,17
160,8,275,18,8,2,1,1,3,5,4,7,11,1,0,1,27,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-7,17
161,8,279,9,2,1,0,0,0,9,1,4,12,0,0,1,25,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-21,17
162,8,31,17,1,0,1,0,6,4,2,7,12,3,1,2,19,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-3,17
163,8,271,3,2,1,0,0,1,4,1,1,5,0,0,1,12,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,17
164,8,266,4,2,1,1,0,1,0,0,1,1,4,2,1,9,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-8,17
165,8,426,5,4,2,1,0,5,3,1,2,5,0,0,1,27,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,23,22
166,8,419,33,5,0,0,1,3,6,3,12,16,9,6,1,29,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,27,22
167,8,424,9,4,1,2,1,2,1,0,3,6,4,3,1,21,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,20,22
168,8,420,18,3,2,4,0,9,3,1,6,12,5,5,3,6,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,28,22
169,8,433,20,3,0,2,0,2,3,3,7,9,3,3,5,23,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,23,22
170,8,427,14,2,0,0,0,2,4,2,5,8,2,2,2,25,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,19,22
171,8,193,5,2,0,0,0,2,6,1,2,8,0,0,1,24,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,22
172,8,435,3,7,2,0,0,0,1,0,0,3,4,3,0,17,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,22
173,8,430,8,6,1,2,0,4,3,1,2,5,4,3,0,23,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,10,22
174,8,421,7,3,2,0,0,2,1,0,3,4,4,1,1,8,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,22
175,8,423,8,0,0,0,0,0,2,2,3,4,0,0,0,8,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,10,22
176,9,540,5,5,0,0,1,3,3,0,0,6,6,5,1,29,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,24,27
177,9,529,11,3,2,2,1,4,6,3,4,7,0,0,0,28,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,29,27
178,9,542,29,7,1,2,4,1,5,2,9,13,10,9,0,30,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,27,27
179,9,530,20,1,1,0,0,10,4,1,9,15,2,1,2,8,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,17,27
180,9,528,23,2,1,0,0,5,4,3,7,13,7,6,2,25,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,19,27
181,9,535,2,1,0,0,0,3,0,0,1,1,0,0,0,14,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-7,27
182,9,531,19,2,0,0,0,6,4,3,8,12,0,0,1,25,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,27
183,9,533,20,0,1,0,0,2,7,4,8,13,0,0,0,25,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,2,27
184,9,527,7,3,0,0,0,0,4,2,2,5,2,1,0,13,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,27
185,9,536,3,1,0,0,0,1,1,1,1,1,0,0,0,3,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,27
186,9,541,3,0,0,0,0,2,1,1,1,1,0,0,0,3,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,27
187,9,537,3,0,0,0,0,1,1,1,1,1,0,0,0,3,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,27
188,9,526,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,27
189,9,484,17,4,1,0,0,3,2,1,5,8,7,6,0,30,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-24,11
190,9,475,23,4,1,0,2,4,3,1,7,12,9,8,1,33,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,11
191,9,482,16,4,2,0,0,3,1,0,7,12,3,2,5,27,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-28,11
192,9,476,2,4,2,1,0,2,2,0,1,6,0,0,1,20,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-20,11
193,9,486,23,5,2,1,0,6,1,0,8,15,8,7,0,35,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,11
194,9,477,8,2,0,0,0,3,3,2,3,4,0,0,0,20,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,11
195,9,483,17,3,0,1,1,3,10,3,6,15,2,2,4,35,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,11
196,9,472,2,3,0,1,2,1,0,0,1,3,0,0,1,14,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,10,11
197,9,481,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,11
198,9,479,5,0,0,1,0,0,3,0,2,7,1,1,0,7,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,11
199,9,473,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,11
200,9,478,7,0,0,0,0,0,2,1,2,3,2,2,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,11
